,open,high,low,close,volume,amount
2026-07-15 10:35:00,17.487196,17.584303,17.4108,17.491209,98713.73,1608384.8
2026-07-15 10:40:00,17.503687,17.580929,17.405659,17.462795,101613.25,1669797.9
2026-07-15 10:45:00,17.453268,17.57553,17.389912,17.494514,101106.49,1658467.0
2026-07-15 10:50:00,17.45187,17.521126,17.34881,17.407751,94856.164,1532463.9
2026-07-15 10:55:00,17.375088,17.469233,17.22445,17.361248,103016.79,1687574.9
2026-07-15 11:00:00,17.291792,17.44155,17.169407,17.297417,101289.84,1653229.5
2026-07-15 11:05:00,17.313969,17.402908,17.197414,17.275358,100801.266,1638505.4
2026-07-15 11:10:00,17.248795,17.361898,17.116016,17.201902,103093.555,1688924.4
2026-07-15 11:15:00,17.219034,17.328676,17.103466,17.15651,106845.71,1756272.9
2026-07-15 11:20:00,16.949074,17.307766,16.91368,17.126217,106699.875,1742510.4
2026-07-15 11:25:00,17.114985,17.214025,17.034431,17.108885,100443.26,1627403.8
2026-07-15 13:00:00,17.097834,17.163025,17.010832,17.068268,98847.92,1597107.0
2026-07-15 13:05:00,17.077538,17.173769,16.995651,17.078022,99185.19,1604630.0
2026-07-15 13:10:00,17.09798,17.197418,17.040041,17.125677,93988.46,1507245.2
2026-07-15 13:15:00,17.113533,17.227821,16.940819,17.031704,100103.88,1626315.9
2026-07-15 13:20:00,17.018396,17.141441,16.944107,17.053484,99393.33,1610619.8
2026-07-15 13:25:00,17.05906,17.1379,16.987514,17.057367,98773.914,1599331.8
2026-07-15 13:30:00,17.054924,17.133522,16.983213,17.05171,98270.984,1587422.8
2026-07-15 13:35:00,17.03301,17.287663,17.007313,17.12211,98999.84,1611484.4
2026-07-15 13:40:00,17.119831,17.16821,17.013216,17.073557,97601.14,1575733.0
2026-07-15 13:45:00,17.084578,17.220778,16.986662,17.102327,100564.39,1632354.1
2026-07-15 13:50:00,17.043026,17.10304,16.911137,16.97803,107878.11,1770340.9
2026-07-15 13:55:00,16.991734,17.09416,16.91012,16.991135,100004.234,1621110.9
2026-07-15 14:00:00,16.98423,17.131044,16.92821,17.044235,103234.516,1684409.4
2026-07-15 14:05:00,16.955837,17.047567,16.79434,16.920698,109354.586,1791657.8
2026-07-15 14:10:00,16.901764,16.976957,16.800585,16.858662,107607.62,1758157.4
2026-07-15 14:15:00,16.906706,17.023252,16.838444,16.936499,104893.7,1705030.5
2026-07-15 14:20:00,16.946915,17.005112,16.839407,16.889748,102008.92,1654420.1
2026-07-15 14:25:00,16.900476,17.01091,16.843744,16.934835,100127.516,1621050.2
2026-07-15 14:30:00,16.949322,16.970854,16.871206,16.90645,101519.24,1643420.0
2026-07-15 14:35:00,16.8899,16.943521,16.775862,16.828806,99376.836,1603152.5
2026-07-15 14:40:00,16.81004,16.878212,16.705202,16.765194,102140.28,1655859.0
2026-07-15 14:45:00,16.74679,16.858194,16.615702,16.692627,105876.1,1719148.9
2026-07-15 14:50:00,16.687588,16.779127,16.610775,16.69875,100153.586,1615741.6
2026-07-15 14:55:00,16.662466,16.732533,16.541128,16.622223,102099.3,1653948.2
2026-07-16 09:30:00,16.494205,16.570871,16.256823,16.33708,102042.3,1640548.9
